Epoch,Train Loss,Train R²,Train MAE,Val Loss,Val R²,Val MAE
1,0.9305524680036784,0.057750471894011605,0.5956608556440479,0.9092643890034389,0.08532829634074507,0.5745756327127197
2,0.9072022393009256,0.07941151728865058,0.5828085454827217,0.8987668575030829,0.0942743732815697,0.5681454264765302
3,0.8948876024577652,0.09208037920556274,0.5755947831658612,0.8917602013876089,0.10308934231892791,0.569937409316182
4,0.8826054572263538,0.1047431205944359,0.5690613624129207,0.8767239337631048,0.11494759351553392,0.5638995379307391
5,0.8700637100872562,0.1164388216986059,0.5626563504062884,0.86711919513242,0.12513786162844628,0.5456111421089845
6,0.8576283774397946,0.12876248150390765,0.5554196945267291,0.8458193059282741,0.14814268563964292,0.5489117831285364
7,0.8475558554642744,0.13827897945468676,0.5503365537163168,0.8452124737802593,0.1506933184288601,0.5157804003930444
8,0.8390742690442035,0.14731341474354878,0.5466223843288618,0.8319075506406856,0.16133046717870803,0.5147059272320204
9,0.8311358735822064,0.15450659585194912,0.5422061567617393,0.8296094361343994,0.16528949415546723,0.516137377381912
10,0.822853245339844,0.16389433217734037,0.5381666880429893,0.8171819376779111,0.17766770720481873,0.5028651797370175
11,0.8148448280118085,0.17122666227499317,0.5346330288988853,0.8136410016829548,0.1806339920545838,0.517649539365557
12,0.8080378869322781,0.178433031284344,0.5308815795109747,0.8088869027096063,0.18595879085741215,0.5206729842622096
13,0.8021202846290639,0.1852721200219415,0.5278505814883254,0.8103696731804627,0.18404095890291022,0.4937287118830313
14,0.7953075684652926,0.19026114460868757,0.524688885105464,0.8018215569271439,0.19316799309844845,0.4988233834162526
15,0.7883878492384966,0.1987267581099602,0.5213196719635194,0.7933009566344651,0.20123643461119364,0.4967443210933792
16,0.7830770052158612,0.20267318280325777,0.5184602013603617,0.792511089302734,0.19947442466206544,0.49913053016357234
17,0.7781367350958701,0.20760904083016962,0.515851885202729,0.7801952967771951,0.21223705463808745,0.504797102121884
18,0.7724162545200491,0.2137361111215008,0.512702328456256,0.7708652826952817,0.2206428319656203,0.5020410473074624
19,0.7674756723385328,0.21837190875527304,0.5110644552068788,0.7716607261198299,0.22047035163650763,0.4812581581239434
20,0.7610114259947497,0.22493164167267096,0.5078865550810306,0.7809348856825351,0.20765298125387607,0.5037872053328014
21,0.7569825037579517,0.22935734050964182,0.5054661488202563,0.7676185259384475,0.22279689435301156,0.4825320055674645
22,0.7523656536513286,0.23308192940708058,0.5031644357486916,0.7610212637139071,0.2314732854785199,0.4798963627547075
23,0.7467363007626739,0.23903404747191395,0.5003358484783211,0.7607776324198947,0.23014157594522625,0.4861276869605523
24,0.7418939652078206,0.2440282560104707,0.4979374760046632,0.7575841092784417,0.23360821252385972,0.47477721115834215
25,0.737266749810634,0.24886496201677732,0.4959798383088572,0.7545170749374015,0.2384503790114705,0.4682810586465795
26,0.7330656399472294,0.2525160706263548,0.4938873760448099,0.7465792595728473,0.24540945212242052,0.47522315072210747
27,0.7279437896621546,0.25849016032179767,0.49156477719973735,0.7468399403154948,0.2462328157597183,0.46520095929038546
28,0.7229907082581177,0.2627663850784302,0.489286662916628,0.7513115850624388,0.2321110837075902,0.5199877685807609
29,0.7186999148993277,0.26813521458627754,0.48735990836390236,0.7411609211040444,0.2521062385664002,0.46522246677985135
30,0.7130813253886645,0.27301656677248054,0.4847166598577519,0.7506479139031448,0.2398904007056664,0.45493877854057524
31,0.7097201921948417,0.27721365795487984,0.4828340812691428,0.7399058765280618,0.2475110775927213,0.4840321513428085
32,0.7058857945752095,0.28044109902587516,0.4808835075315264,0.7336012543177566,0.25753433442076634,0.47429097259083797
33,0.702098506682952,0.2830827622932575,0.4794037679198831,0.7248294216340594,0.26471657549414923,0.4773670263184702
34,0.6975181962919921,0.2874304776930956,0.47743420053189295,0.742808458791382,0.24222825435777798,0.47246387808878826
35,0.6934535525632101,0.2909564169280583,0.4755451984963623,0.72608153739782,0.26499256618895944,0.4493318711742392
36,0.6911454899079745,0.29486442536299234,0.47430551684245437,0.7211940919335057,0.2691318293412526,0.45672505758763926
37,0.6872496477081546,0.29786206893852357,0.4724584754793551,0.722827858525544,0.2650054513135763,0.4735303056749021
38,0.682680546983434,0.30308654283840797,0.47029825362091926,0.7295987882662094,0.25596074454107115,0.46653799284463643
39,0.6790306857754562,0.3069276976634345,0.46896276915832225,0.7183538845974237,0.2736046511942921,0.44742005390584566
40,0.6749654785563569,0.30951898417433676,0.46693651599071356,0.7324101817480645,0.25389908457233007,0.4623211055308923
41,0.6715271385941173,0.31310074979274916,0.4654078235310451,0.7266209467584863,0.2588006616715336,0.4620495566055301
42,0.6688987185700473,0.316686053405797,0.4640240902406234,0.7206978670433042,0.2655216873377219,0.46574387994207966
43,0.6642152788947495,0.3203276473149137,0.4621942897352105,0.7189996441450025,0.2721657547457465,0.4476177169282252
44,0.6406840023196454,0.34444537496909466,0.4506090434241344,0.7048907915408584,0.28169794750135324,0.45536516352337963
